"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Suitable AST Node Granularity and Multi-Kernel Transfer Convolutional Neural Network for Cross-Project Defect Prediction","J. Deng; L. Lu; S. Qiu; Y. Ou","School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Modern Industrial Technology Research Institute, South China University of Technology, Zhongshan, China; College of Mathematics and Informatics, South China Agricultural University, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China",IEEE Access,"17 Apr 2020","2020","8","","66647","66661","Cross-project defect prediction (CPDP) is a feasible way to perform software defect prediction (SDP) when lacking historical data. Recent CPDP approaches have employed deep learning techniques to better exploit the information from the program's abstract syntax trees (ASTs). However, the granularity of the AST nodes and the data distribution difference between projects may have negative impacts on the prediction performance, which many CPDP studies didn't take into consideration. To handle these issues, this paper explores a better AST node granularity and proposes a CPDP framework based on multi-kernel transfer convolutional neural networks. Specifically, for AST node granularity, we explore the difference of three AST node granularities and then compare the prediction performance of each granularity on several prediction models. For the CPDP framework, we first parse the program source code into ASTs and then encode the AST nodes into numerical vectors using the embedding technique. Secondly, to mine transferable semantic features, the encoded ASTs are fed into a convolutional neural network, in which a multi-kernel matching layer is added to minimize the data distribution divergence between the source and target project. Finally, to make use of the information from the handcrafted features, the semantic features mined from the AST are joint with handcrafted features to form the joint features for CPDP. We evaluate our approach on 110 CPDP tasks formed by 11 open-source projects and results show that the proposed CPDP method outperforms most deep learning-based approaches.","2169-3536","","10.1109/ACCESS.2020.2985780","National Nature Science Foundation of China(grant numbers:61370103); Guangzhou Produce Research Fund(grant numbers:201902020004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057380","Abstract syntax tree;cross-project defect prediction;maximum mean discrepancy;multi-kernel;transfer learning","Feature extraction;Semantics;Software;Task analysis;Machine learning;Convolutional neural networks;Syntactics","","21","","48","CCBY","6 Apr 2020","","","IEEE","IEEE Journals"
"A Comprehensive Review of SDP Using Machine and Deep Learning Techniques in Software Testing","S. Angamuthu; K. G. Maheswari","Department of Information Technology, Nandha Engineering College; Department of Information Technology, Government College of Engineering, Tamil Nadu, India",2024 2nd International Conference on Computing and Data Analytics (ICCDA),"10 Feb 2025","2024","","","1","6","Software Defect Prediction (SDP) is essential to ensure the high quality and dependability of the Software Testing process in the Software Development Life Cycle (SDLC). Early identification of defects plays a significant role in minimizing the efforts, resources and time. Conventional manual testing techniques have become insufficient due to the increasing intricacy of software programs and the demand for automated techniques. To evaluate vast amounts of data and find defect patterns, Deep Learning (DL) and Machine Learning (ML) techniques have emerged as promising solutions for accurate SDP. A comprehensive analysis of recent developments in ML and DL techniques for SDP is provided in this review paper. The reviewed SDP methodologies, their advantages and limitations, along with their comparative performance, are discussed. The recent research trends, emerging methods, and promising paths for future research in this field are also identified in this domain. This paper aims to be a beneficial source for researchers to understand the current state of SDP and how to use ML, DL, and ensemble approaches to improve software quality assurance practices for effective software testing performance in SDLC.","","979-8-3315-4257-3","10.1109/ICCDA64887.2024.10867332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10867332","Software Testing;Software Defect Prediction;Software Development Life Cycle;Machine Learning;Deep Learning;Ensemble Methods","Software testing;Deep learning;Surveys;Support vector machines;Accuracy;Reviews;Stacking;Predictive models;Software;Ensemble learning","","","","35","IEEE","10 Feb 2025","","","IEEE","IEEE Conferences"
"Software Defect Prediction Using Ensemble Technique","P. Wicaksono; P. Arisaputra; R. Yunanda; W. Kristian; A. Mujhid","Software Engineering Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia; Software Engineering Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia; Software Engineering Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, School of Information Systems Bina Nusantara University, Jakarta, Indonesia; Software Engineering Department, School of Computer Science Bina Nusantara University, Jakarta, Indonesia",2024 International Conference on Information Management and Technology (ICIMTech),"16 Dec 2024","2024","","","190","194","Software defect prediction is the methodical process of identifying code segments that are likely to have problems. This is done by analyzing software metrics and using categorization algorithms. This work introduces an alternate approach that utilizes ensemble learning techniques to improve the effectiveness of fault detection models. The models utilized in this study are CodeGPT and CodeBERT, both of which are transformer-based deep learning models that can extract code features from source code. The models are trained using the PROMISE dataset, which consists of Java projects that have been labeled with defects. The test results show that using ensemble learning methods can improve the accuracy, precision, recall, and F1 score of a single model by around 1-3%. This study contributes to the progress of software dependability and quality by utilizing advanced software fault prediction algorithms.","2837-2778","979-8-3503-9002-5","10.1109/ICIMTech63123.2024.10780854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780854","codegpt;codebert;ensemble technique;software defect prediction;software engineering","Codes;Source coding;Software algorithms;Predictive models;Prediction algorithms;Feature extraction;Transformers;Software;Ensemble learning;Software measurement","","","","26","IEEE","16 Dec 2024","","","IEEE","IEEE Conferences"
"A Decade of Progress: A Systematic Literature Review on the Integration of AI in Software Engineering Phases and Activities (2013-2023)","U. K. Durrani; M. Akpinar; M. Fatih Adak; A. Talha Kabakus; M. Maruf Öztürk; M. Saleh","Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates; Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates; Department of Computer Engineering, Sakarya University, Sakarya, Türkiye; Department of Computer Engineering, Duzce University, Düzce, Türkiye; Department of Computer Engineering, Suleyman Demirel University, Isparta, Türkiye; Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates",IEEE Access,"22 Nov 2024","2024","12","","171185","171204","The synergy between software engineering (SE) and artificial intelligence (AI) catalyzes software development, as numerous recent studies illustrate an intensified intersection between these domains. This systematic literature review examines the integration of AI techniques or methodologies across SE phases and related activities spanning from 2013 to 2023, resulting in the selection of 110 research papers. Investigating the profound influence of AI techniques, including machine learning, deep learning, natural language processing, optimization algorithms, and expert systems, across various SE phases—such as planning, requirement engineering, design, development, testing, deployment, and maintenance—is the focal point of this study. Notably, the extensive adoption of machine learning and deep learning algorithms in the development and testing phases has enhanced software quality through defect prediction, code recommendation, and vulnerability detection initiatives. Furthermore, natural language processing’s role in automating requirements classification and sentiment analysis has streamlined SE practices. Optimization algorithms have also demonstrated efficacy in refining SE activities such as feature location and software repair action predictions, augmenting precision and efficiency in maintenance endeavors. Prospective research emphasizes the imperative of interpretable AI models and the exploration of novel AI paradigms, including explainable AI and reinforcement learning, to promote ethical and efficient software development practices. This paper fills the gap identified in AI techniques dedicated to improving SE phases. The review concludes that AI in SE is revolutionizing the discipline, enhancing software quality, efficiency, and innovation, with ongoing efforts targeting the mitigation of identified limitations and the augmentation of AI capabilities for intelligent and dependable SE.","2169-3536","","10.1109/ACCESS.2024.3488904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740293","AI;artificial intelligence;deep learning;expert systems;integration;machine learning;natural language processing;optimization algorithms;planning;requirement engineering;software deployment;software development;software engineering;software maintenance;software testing;systematic literature review","Artificial intelligence;Systematics;Software;Maintenance;Testing;Optimization;Software engineering;Resource management;Encoding;Codes","","12","","159","CCBYNCND","1 Nov 2024","","","IEEE","IEEE Journals"
"Software Sentiment Analysis using Deep-learning Approach with Word-Embedding Techniques","V. K. Chandra Mula; L. Kumar; L. B. Murthy; A. Krishna","Dept. CSIS, Andhra University College of Engineering; Department of Computer Science & Information Systems, BITS Pilani Hyderabad Campus; Department of Computer Science & Information Systems, BITS Pilani Hyderabad Campus; Curtin University",2022 17th Conference on Computer Science and Intelligence Systems (FedCSIS),"10 Oct 2022","2022","","","873","882","Sentiment Analysis in the Software Engineering community aims to make the development and maintenance of software a better experience by helping provide code and library suggestions, defect-related comments for source code, etc. The manual finding of sentiment-based comments may be an inaccurate prediction and a time-consuming process. Automating the sentiment analysis process by leveraging Machine Learning models can benefit software professionals by giving them insights into other developers and feelings about software products, libraries, development, and maintenance tasks at a glance. This study aims to develop software sentiment prediction models based on comments by (1) identifying the best embedding techniques to represent the word of the comments, not just as a number but as a vector in n-dimensional space (2) finding the best sets of vectors using different features selection techniques (3) finding the best methods to handle the class imbalance nature of the data, and (4) finding the best architecture of deep-learning for the training of models. The developed models are validated using 5-fold cross-validation with four different performance parameters: accuracy, AUC, recall, and precision on three different datasets. The experimental finding shows that the models developed using the word embeddings with feature selection using Deep Learning classifiers on balanced data can significantly predict the underlying sentiments of textual comments.","","978-83-962423-9-6","10.15439/2022F138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9909342","Sentiment Analysis;Software Engineering Tasks;Word Embedding;Feature Selection;Data Imbalance;SMOTE;Deep Learning classifiers","Analytical models;Sentiment analysis;Computational modeling;Predictive models;Maintenance engineering;Feature extraction;Software","","","","11","","10 Oct 2022","","","IEEE","IEEE Conferences"
"Just-in-Time Software Defect Prediction Techniques: A Survey","E. Alnagi; M. Azzeh","Computer Science Department, Princess Sumaya University for Technology, Amman, Jordan; Data Science Department, Princess Sumaya University for Technology, Amman, Jordan",2024 15th International Conference on Information and Communication Systems (ICICS),"22 Aug 2024","2024","","","1","6","Just-In-Time Software Defect Prediction (JIT-SDP) is a technique that allows teams to predict defects in software on the commit level instead of the release level. Using JIT-SDP will spare a lot of time and effort for teams, companies, and even clients. The need of predicting software defects in early phases urged researchers to study and propose many models in this direction. This paper aims to survey research in the last decade and inspect the evolution of JIT-SDP since the year 2012 until 2023. 30 research papers have been collected, classified, and discussed. It has been found that Machine Learning and Deep Learning are the most used techniques in this scope. Effort-Aware models and Cross-Project models are also two vital scenarios for JIT-SDP. Three research questions have been proposed in this research regarding the most frequent techniques used for prediction, the most frequent project (datasets), and the most frequent evaluation metrics adopted in the research. It has been intended to draw a timeline of the evolution of JIT-SDP models that can lead to more novel models to be proposed in the future.","2573-3346","979-8-3315-4076-0","10.1109/ICICS63486.2024.10638276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638276","Just-In-Time Software Defect Prediction (JIT-SDP);JIT Datasets;Machine Learning;Deep Learning;EffectAware Models;Cross-Project Models","Surveys;Measurement;Deep learning;Logistic regression;Communication systems;Companies;Predictive models","","1","","38","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"Software Defect Prediction via Multi-Channel Convolutional Neural Network","C. Lang; J. Li; T. Kobayashi","Department of Computer Science, School of Computing, Tokyo Institute of Technology, Japan; Department of Computer Science, School of Computing, Tokyo Institute of Technology, Japan; Department of Computer Science, School of Computing, Tokyo Institute of Technology, Japan","2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)","10 Mar 2022","2021","","","543","554","With the growing complexity of modern software, the expense of improving software reliability becomes significant. To reduce costs, Software Defect Prediction (SDP) was proposed to detect hidden bugs a few decades ago. Recent studies demon-strate the superiority of the deep learning-based approach in SDP, such as Convolutional Neural Network (CNN). However, the noise in defect data can still deteriorate their performance. To enhance the performance of the state-of-the-art CNN-based method, we propose an improved SDP framework named Defect Prediction via Multi-Channel Convolutional Neural Network (DP-MC-CNN). The novelty is that DP-MC-CNN extracts sub-trees from the Abstract Syntax Tree, generates multiple paths, and feeds them to a multi-channel CNN, which weakens the noise effect. In evaluation, we assess DP-MC-CNN on seven projects by average F1 score, and it outperforms the state-of-the-art CNN-based method by 3.93%. Furthermore, we validate the effectiveness of the multi-channel approach and reveal the influences of each sub-tree component.","2693-9177","978-1-6654-5813-9","10.1109/QRS54544.2021.00065","MEXT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724813","software defect prediction;deep neural network;CNN;abstract syntax tree;empirical study","Costs;Computer bugs;Software quality;Syntactics;Software systems;Software;Software reliability","","","","47","IEEE","10 Mar 2022","","","IEEE","IEEE Conferences"
"Graph Neural Network for Source Code Defect Prediction","L. Šikić; A. S. Kurdija; K. Vladimir; M. Šilić","Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia",IEEE Access,"28 Jan 2022","2022","10","","10402","10415","Predicting defective software modules before testing is a useful operation that ensures that the time and cost of software testing can be reduced. In recent years, several models have been proposed for this purpose, most of which are built using deep learning-based methods. However, most of these models do not take full advantage of a source code as they ignore its tree structure or they focus only on a small part of a code. To investigate whether and to what extent information from this structure can be beneficial in predicting defective source code, we developed an end-to-end model based on a convolutional graph neural network (GCNN) for defect prediction, whose architecture can be adapted to the analyzed software, so that projects of different sizes can be processed with the same level of detail. The model processes the information of the nodes and edges from the abstract syntax tree (AST) of the source code of a software module and classifies the module as defective or not defective based on this information. Experiments on open source projects written in Java have shown that the proposed model performs significantly better than traditional defect prediction models in terms of AUC and F-score. Based on the F-scores of the existing state-of-the-art models, the model has shown comparable predictive capabilities for the analyzed projects.","2169-3536","","10.1109/ACCESS.2022.3144598","European Regional Development Fund through the System for Detection of Malicious Transactions in Electronic Payment Operations Based on Machine Learning Research Project(grant numbers:IRI-II KK.01.2.1.02.0192); VODIME-The Waters of Imotski Region Research Project(grant numbers:KK.05.1.1.02.0024); Croatian Science Foundation through the Reliable Composite Applications Based on Web Services Research Project(grant numbers:HRZZ-IP-01-2018-6423); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684879","Software defect prediction;deep learning;graph neural network","Codes;Software;Predictive models;Feature extraction;Task analysis;Graph neural networks;Data models","","46","","74","CCBY","18 Jan 2022","","","IEEE","IEEE Journals"
"Leveraging Machine Learning for Enhanced Software Defect Prediction and Quality Assurance: A Comparative Analysis","P. Mohandas; A. Duraipandian; V. Chaitanya; A. N. Tharun; D. B. Vishnuvardhan; D. N. V. Kumar","Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA; Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA; Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA; Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA; Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA; Computer Science and Engineering Department, Sasi Institute of Technology and Engineeering, Tadepalligudem, INDIA",2024 International Conference on Computing and Intelligent Reality Technologies (ICCIRT),"18 Mar 2025","2024","","","198","202","The evolution of software engineering practices has heightened the emphasis on quality assurance, particularly in defect prediction and testing methodologies. Traditional approaches often fall short in addressing the complexities of modern software systems, prompting the integration of advanced technologies such as deep learning and machine learning. Recent research highlights the development of robust models for predicting defect density, which effectively tackle issues of data sparsity, alongside the introduction of specialized validation frameworks for AI-driven software that utilize innovative testing methods. Additionally, advancements in automated testing practices, including the use of large language models for test case generation and ensemble machine learning for bug classification, underscore the critical role of efficient maintenance in ensuring software quality. Furthermore, novel frameworks for validating unsupervised learning systems bridge user expectations with system performance evaluations. Collectively, these contributions reveal a trend towards leveraging cutting-edge methodologies to address the multifaceted challenges of software quality, emphasizing the need for adaptive and innovative strategies as software systems continue to evolve.","","979-8-3315-1029-9","10.1109/ICCIRT59484.2024.10921974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10921974","Machine Learning;Software Testing;Artificial Intelligence;Cross-Project Defect Detection;Bug Classification;Automated Testing","Deep learning;Quality assurance;Computer bugs;Software quality;Software systems;Market research;Software reliability;Maintenance;Testing;Software engineering","","","","15","IEEE","18 Mar 2025","","","IEEE","IEEE Conferences"
"CSTLineDP: A Fine-grained Software Defect Prediction Framework Based on CST and Bi-GRU","X. Li; C. Zhang","School of Computer Science and Technology, Anhui University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China",2024 4th International Conference on Electronic Information Engineering and Computer Communication (EIECC),"25 Mar 2025","2024","","","1434","1438","Software defect detection based on deep learning technology is an important research field. However, there are still obvious limitations in the existing research: (1) most of the current research is coarse-grained, and code defects can only be located at the coarse-grained level, such as function level and file level; (2) existing methods rely more on the code text, ignoring the use of code structure information, resulting in low predict accuracy. (3) the risk score of each code token cannot be obtained, resulting in insufficient interpretability of the prediction results. Aiming at the shortcomings of previous studies, we propose CSTLineDP, which combines the hierarchical structure information of the code (based on the concrete syntax tree) with the text information to achieve fine-grained and interpretable code defect prediction. Experimental results on the public Java and C/C++ datasets indicate that, compared with other baseline methods, our method improves the three evaluation indicators by 8.8% ~ 32.2%, 1.5% ~ 16.0% and 13 ~ 27, respectively.","","979-8-3315-3462-2","10.1109/EIECC64539.2024.10929201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929201","Software defect detection;Attention neural network;Concrete syntax tree","Hands;Representation learning;Java;Codes;Accuracy;Source coding;Neural networks;Syntactics;Software;Defect detection","","","","10","IEEE","25 Mar 2025","","","IEEE","IEEE Conferences"
"EDP-BGCNN: Effective Defect Prediction via BERT-based Graph Convolutional Neural Network","H. Shen; X. Ju; X. Chen; G. Yang","School of Information Science and Technology, Nantong University, China; School of Information Science and Technology, Nantong University, China; School of Information Science and Technology, Nantong University, China; School of Information Science and Technology, Nanjing University of Aeronautics and Astronautics, China","2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)","2 Aug 2023","2023","","","850","859","Software defect prediction (SDP) is a critical task that aims to identify potential defects and allocate resources for testing to enhance software reliability. In this study, we present a novel defect prediction framework called EDP-BGCNN, which leverages the power of BERT and graph convolutional neural networks to represent code. Our approach first extracts the code’s structural semantic features based on its abstract syntax tree (AST), followed by applying BERT for embedded learning to extract the code’s semantic features. We then use latent Dirichlet allocation (LDA) to extract descriptive semantic features and convert them into a numeric vector. The code and descriptive semantic features are then combined and processed by GraphSMOTE to address the class imbalance problem. Finally, we obtain a more comprehensive representation using graph convolutional neural networks. We evaluated our approach on five open-source projects and compared it with three state-of-the-art deep-learning methods. Our experimental results demonstrate that EDP-BGCNN can achieve significant improvements in AUC (4.9% - 23%) and F1-measure (6.6% - 10.7%) on average.","0730-3157","979-8-3503-2697-0","10.1109/COMPSAC57700.2023.00114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10196969","","Codes;Semantics;Bit error rate;Syntactics;Feature extraction;Software;Software reliability","","3","","63","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
"Lessons Learned from Using a Deep Tree-Based Model for Software Defect Prediction in Practice","H. K. Dam; T. Pham; S. W. Ng; T. Tran; J. Grundy; A. Ghose; T. Kim; C. -J. Kim","University of Wollongong, Australia; Deakin University, Australia; University of Wollongong, Australia; Deakin University, Australia; Monash University, Australia; University of Wollongong, Australia; Samsung Electronics, Republic of Korea; Samsung Electronics, Republic of Korea",2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),"29 Aug 2019","2019","","","46","57","Defects are common in software systems and cause many problems for software users. Different methods have been developed to make early prediction about the most likely defective modules in large codebases. Most focus on designing features (e.g. complexity metrics) that correlate with potentially defective code. Those approaches however do not sufficiently capture the syntax and multiple levels of semantics of source code, a potentially important capability for building accurate prediction models. In this paper, we report on our experience of deploying a new deep learning tree-based defect prediction model in practice. This model is built upon the tree-structured Long Short Term Memory network which directly matches with the Abstract Syntax Tree representation of source code. We discuss a number of lessons learned from developing the model and evaluating it on two datasets, one from open source projects contributed by our industry partner Samsung and the other from the public PROMISE repository.","2574-3864","978-1-7281-3412-3","10.1109/MSR.2019.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816787","defect prediction, deep learning","Software;Syntactics;Semantics;Predictive models;Australia;Complexity theory;Measurement","","104","1","40","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"A novel software defect prediction method based on hierarchical neural network","H. Yu; X. Sun; Z. Zhou; G. Fan","Shanghai Key Laboratory of Computer Software Evaluating and Testing, East China University of Science and Technology, Shanghai, China; Department of Computer Science and Engineering, East China University of Science and Technology, Shanghai, China; Department of Computer Science and Engineering, East China University of Science and Technology, Shanghai, China; Shanghai Key Laboratory of Computer Software Evaluating and Testing, East China University of Science and Technology, Shanghai, China","2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)","9 Sep 2021","2021","","","366","375","To ensure software reliability, software defect prediction (SDP) techniques are employed to help developers effectively allocate the testing resources. Recently, researchers utilized deep learning models to extract semantic features from abstract syntax tree (AST) of source code which showed a better prediction performance over metric-based methods. However, the existing file-level SDP models representing the AST as a flattened sequence could jeopardize the preservation of long-term dependency. In this paper, we propose a new Defect Prediction framework based on the Hierarchical Neural Network (DP-HNN). Our method makes use of the hierarchical structure of AST by splitting the large file-level AST into several subtrees according to certain AST nodes crucial to SDP task. These subtrees represented by node-level sequences are encoded separately and then serve as the elements of the subtree-level sequence. Finally, a multi-granularity fusion approach is performed in the subtree-level encoder to obtain the crucial features that represent the code file. Our proposed DP-HNN is aimed at capturing long-term dependency while preserving fine-grained local information. We conducted experiments on 11 open-source projects considering the cross-version and the mixed-version scenario of within-project SDP. Results show that on average, DP-HNN improves the state-of-the-art method by 14% and 3% on MCC and AUC scores respectively.","0730-3157","978-1-6654-2463-9","10.1109/COMPSAC51774.2021.00059","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529567","software defect prediction;abstract syntax tree;hierarchical neural network","Codes;Neural networks;Semantics;Syntactics;Predictive models;Feature extraction;Software reliability","","5","","43","IEEE","9 Sep 2021","","","IEEE","IEEE Conferences"
"EPR: a Neural Network for Automatic Feature Learning from Code for Defect Prediction","D. Fang; S. Liu; A. Liu","Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan; Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan; Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan","2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)","10 Mar 2022","2021","","","482","492","Software defect prediction plays a significant role in the software development cycle but suffers from many difficulties. In this paper we propose a novel deep learning model (including algorithms) called Extractor, Parser, and Reviewer (EPR) for defect prediction in software. Two different networks, recurrent neural networks (RNNs) and one-dimensional convolutional networks(ODCNs), are employed by the EPR for different purposes. RNN is utilized to extract contextual features to represent semantic dependencies between code tokens and ODCN acts as a parser to establish dependencies between semantic features. Meanwhile, the attention mechanism of the two networks is used as a reviewer to assign different weights from location information to the importance of the features, respectively. Our proposed model is validated by the PROMISE repository, and the results show that the proposed model in this paper significantly outperforms several existing algorithms.","2693-9177","978-1-6654-5813-9","10.1109/QRS54544.2021.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724897","defect prediction;neural network;attention mechanism","Recurrent neural networks;Semantics;Software algorithms;Software quality;Predictive models;Semisupervised learning;Feature extraction","","1","","38","IEEE","10 Mar 2022","","","IEEE","IEEE Conferences"
"CNN Based Severity Prediction of Bug Reports","R. M. D. S. Rathnayake; B. T. G. S. Kumara; E. M. U. W. J. B. Ekanayake","Department of Computing and Information Systems, Sabaragamuwa University of Sri Lanka, Belihuloya, Sri Lanka; Department of Computing and Information Systems, Sabaragamuwa University of Sri Lanka, Belihuloya, Sri Lanka; Department of Computer Science and Informatics, Uva Wellassa University of Sri Lanka, Sri Lanka",2021 From Innovation To Impact (FITI),"25 Jul 2022","2021","1","","1","6","Users can use bug tracking systems (BTS) such as Bugzilla, JIRA, and GitHub to report defects they detect while using or testing the software applications. Bugzilla has specified the bug’s information such as bug ID, description, product, classification, component, platform, operating system, bug status, resolution, priority, and severity. The severity assigned to the bug report is conducted manually. So, it takes some considerable time to assign the severity manually, and also it is a tedious task. In this research, we used a deep learning-based technique to develop the prediction model for severity. Our proposed approach is based on the convolutional neural network (CNN) for severity prediction of the bug reports. First, we pre-process the textual content in bug reports using natural language processing (NLP) approaches. Then we extract the features from the textual context (short description) using the Bag-of-Words feature extraction method. Finally, we train a CNN-based classifier to severity prediction based on its input. Then our result is compared with the Support Vector Machine (SVM) and Temporal Convolutional Network (TCN) to find a better model for severity prediction. The final results show that the proposed approach based on the CNN classifier performs better than the other approaches, and it shows an 81% accuracy while others have low accuracy, like 61% and 48% for SVM and TCN, respectively. The proposed model’s performance was evaluated using the Bugzilla dataset, which included over 25,000 bug reports. The accuracy, precision, recall, and F1-Score are used to measure the performance.","","978-1-6654-8325-4","10.1109/FITI54902.2021.9833043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833043","bug reports;severity prediction;CNN;TCN;SVM","Support vector machines;Technological innovation;Computer bugs;Predictive models;Feature extraction;Natural language processing;Convolutional neural networks","","2","","22","IEEE","25 Jul 2022","","","IEEE","IEEE Conferences"
"Explaining of Transformer-based Models for Vulnerable Function Detection","Z. Rusinova; Y. Chernyshov; A. Dolganov","Research centre CJSC “Cyberlympha”, Yekaterinburg, Russia; Research centre CJSC “Cyberlympha”, Yekaterinburg, Russia; Ural Federal University named after First President of Russia B.N. Yeltsin, Yekaterinburg, Russia","2024 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)","9 Jul 2024","2024","","","304","307","In recent years, many solutions have been proposed to automatically search for potential bugs and security threats in software. Machine learning and deep learning methods have proven themselves well in the tasks of finding code vulnerabilities, but often these solutions are limited to localization at the level of files and functions. Recently, line-level defect prediction approaches have been proposed, the most successful of which have turned out to be methods using the attention mechanism to build predictions of models based on transformers, for example, LineVul [14]. This article presents an approach for finding vulnerabilities at the line-of-code level using perturbation-based explainability methods. We use SHAP and LIME methods to construct explanations for the predictions of the transformer-based model for the multiclass classification of CWE vulnerability types. We get importance estimates of individual code tokens, which we aggregate into scores of code lines and arrange the lines according to the scores obtained. The resulting vulnerability ratings of function code lines were evaluated using a publicly available dataset of functions in C/C++, which contained flaw line indexes labels. The results obtained suggest that the proposed approach effectively detects vulnerabilities at the line-of-code level and can be used to refine the predictions of vulnerability detection models.","2769-3635","979-8-3503-6289-3","10.1109/USBEREIT61901.2024.10583974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10583974","vulnerability detection;common vulnerabilities and exposures;deep learning;explainable AI;interpretable AI","Location awareness;Codes;Aggregates;Information security;Predictive models;Transformers;Search problems","","","","17","IEEE","9 Jul 2024","","","IEEE","IEEE Conferences"
